shock,reinforcement,external_market,dst,mode,hops,uses_external,slippage_frac,slippage_usd_on_5k,protocol_fee_eth,hop_fee_legs,exhausted,tokens_out,link6_drawdown,excess_slippage_vs_healthy
0.99,fee_funded_3_rounds,independent,12,FULL_LINE,13,False,0.5674188913412532,2837.094456706266,0.0125,13,False,20387250.594379332,0.9456838004799888,0.4365686653504154
0.99,fee_funded_3_rounds,independent,12,PARENT_SOURCED,13,False,0.5674188913412532,2837.094456706266,0.0125,13,False,20387250.594379332,0.9456838004799888,0.5105134569820107
0.99,fee_funded_3_rounds,independent,12,DEPTH_CAPPED(3),13,False,0.5674188913412532,2837.094456706266,0.0125,13,False,20387250.594379332,0.9456838004799888,0.5105134569820107
0.99,fee_funded_3_rounds,arbitraged,10,FULL_LINE,11,False,0.2250657584711615,1125.3287923558075,0.0125,11,False,4055205.6486642025,0.8974641661127252,0.11092070427525236
0.99,fee_funded_3_rounds,arbitraged,10,PARENT_SOURCED,2,True,0.07396565877831818,369.8282938915909,0.0,2,False,4845907.549485215,0.8974641661127252,0.036635610784861994
0.99,fee_funded_3_rounds,arbitraged,10,DEPTH_CAPPED(3),2,True,0.07396565877831818,369.8282938915909,0.0,2,False,4845907.549485215,0.8974641661127252,0.036635610784861994
0.99,fee_funded_3_rounds,arbitraged,12,FULL_LINE,13,False,0.249168089806042,1245.84044903021,0.0125,13,False,3929078.9337285506,0.8974641661127252,0.11831786381520415
0.99,fee_funded_3_rounds,arbitraged,12,PARENT_SOURCED,4,True,0.10792446899192942,539.6223449596471,0.0,4,False,4668202.201572766,0.8974641661127252,0.051019034632686866
0.99,fee_funded_3_rounds,arbitraged,12,DEPTH_CAPPED(3),4,True,0.10792446899192942,539.6223449596471,0.0,4,False,4668202.201572766,0.8974641661127252,0.051019034632686866
0.99,cap_max,independent,10,FULL_LINE,11,False,0.19113783685684305,955.6891842842152,0.0125,11,False,8268210.1084078755,0.9450670154023879,0.0769927826609339
0.99,cap_max,independent,10,PARENT_SOURCED,11,False,0.19113783685684305,955.6891842842152,0.0125,11,False,8268210.1084078755,0.9450670154023879,0.15380778886338686
0.99,cap_max,independent,10,DEPTH_CAPPED(3),11,False,0.19113783685684305,955.6891842842152,0.0125,11,False,8268210.1084078755,0.9450670154023879,0.15380778886338686
0.99,cap_max,independent,12,FULL_LINE,13,False,0.23971308125740898,1198.5654062870449,0.0125,13,False,7771672.694405906,0.9450670154023879,0.10886285526657113
0.99,cap_max,independent,12,PARENT_SOURCED,13,False,0.23971308125740898,1198.5654062870449,0.0125,13,False,7771672.694405906,0.9450670154023879,0.18280764689816642
0.99,cap_max,independent,12,DEPTH_CAPPED(3),13,False,0.23971308125740898,1198.5654062870449,0.0125,13,False,7771672.694405906,0.9450670154023879,0.18280764689816642
0.99,cap_max,arbitraged,10,FULL_LINE,11,False,0.12613148932200902,630.6574466100451,0.0125,11,False,3428439.1691959724,0.9321166454642287,0.01198643512609987
0.99,cap_max,arbitraged,10,PARENT_SOURCED,2,True,0.06556413957308838,327.8206978654419,0.0,2,False,3666062.4176781555,0.9321166454642287,0.028234091579632192
0.99,cap_max,arbitraged,10,DEPTH_CAPPED(3),2,True,0.06556413957308838,327.8206978654419,0.0,2,False,3666062.4176781555,0.9321166454642287,0.028234091579632192
0.99,cap_max,arbitraged,12,FULL_LINE,13,False,0.14941330366713568,747.0665183356784,0.0125,13,False,3337097.87098527,0.9321166454642287,0.018563077676297834
0.99,cap_max,arbitraged,12,PARENT_SOURCED,4,True,0.09204421433078314,460.22107165391566,0.0,4,False,3562173.417910808,0.9321166454642287,0.03513877997154058
0.99,cap_max,arbitraged,12,DEPTH_CAPPED(3),4,True,0.09204421433078314,460.22107165391566,0.0,4,False,3562173.417910808,0.9321166454642287,0.03513877997154058
